title,date,url,author,country,category,reference,type
Information Security Manual Guidelines for Cryptography,september 2024,https://www.cyber.gov.au/sites/default/files/2024-09/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20%28September%202024%29.pdf,ACSC,australia,QRA,,PDF
Securing Tomorrow Today: Transitioning to Post-Quantum Cryptography,november 2024,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Crypto/PQC-joint-statement.pdf?__blob=publicationFile&v=5,BSI,EU,Transition,,PDF
preparing your organization for the quantum threat to cryptography,february 2021,https://www.cyber.gc.ca/sites/default/files/cyber/publications/itsap00017-e.pdf,CCCS,canada,Transition,ITSAP.00.017,PDF
becoming cryptographically agile,may 2022,https://www.cyber.gc.ca/sites/default/files/ITSAP40018-guidance-on-becoming-cryptographically-agile.pdf,CCCS,canada,Agile,ITSAP.40.018,PDF
guidance for cryptographic algorithms to incorporate new standards,march 2024,https://www.cyber.gc.ca/sites/default/files/itsp.40.111_1-e.pdf,CCCS,canada,QRA,ITSP.40.111,PDF
Strategy for Migrating to Automated Post-Quantum Cryptography Discovery and Inventory Tools,august 2024,https://www.cisa.gov/sites/default/files/2024-09/Strategy-for-Migrating-to-Automated-PQC-Discovery-and-Inventory-Tools.pdf,CCCS,canada,Discovery,,PDF
COMMISSION RECOMMENDATION  of 11.4.2024  on a Coordinated Implementation Roadmap for the transition to Post-Quantum  Cryptography,April 2024,https://ec.europa.eu/newsroom/dae/redirection/document/104249,European Commission,EU,QRA,C_2024_2393_EN,PDF
G7 CYBER EXPERT GROUP STATEMENT ON PLANNING FOR THE OPPORTUNITIES AND RISKS OF QUANTUM COMPUTING,September 2024,https://home.treasury.gov/system/files/136/G7-CYBER-EXPERT-GROUP-STATEMENT-PLANNING-OPPORTUNITIES-RISKS-QUANTUM-COMPUTING.pdf,G7,G7,Transition,,PDF
Advisory on Addressing the Cybersecurity Risks Associated with Quantum,February 2024,https://www.mas.gov.sg/-/media/mas-media-library/regulation/circulars/trpd/mas-quantum-advisory/mas-quantum-advisory.pdf,Monetary Authority of Singapore,singapore,Guidelines,MAS/TCRS/2024/01',PDF
Post-quantum cryptography: what comes next?,August 2024,  https://www.ncsc.gov.uk/pdfs/blog-post/post-quantum-cryptography-what-comes-next.pdf, NCSC (UK National Cyber Security Centre),UK,Transition,,PDF
Next steps in preparing for post-quantum cryptography version 2.0. NCSC, August 2024, https://www.ncsc.gov.uk/pdfs/whitepaper/next-steps-preparing-for-post-quantum-cryptography.pdf, NCSC (UK National Cyber Security Centre),UK,Transition,,PDF
Post Quantum Cryptography – Guidelines for Telecom Use Cases Version 2.0,October 2024,https://www.gsma.com/newsroom/wp-content/uploads//PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-Cases-v2.0-2.pdf,GSMA,NA,Telecom,,PDF
Quantum security technologies,March 2020,https://www.ncsc.gov.uk/pdfs/whitepaper/quantum-security-technologies.pdf,NCSC,UK,QKD,,PDF
Position Paper on Quantum Key Distribution,, https://cyber.gouv.fr/sites/default/files/document/Quantum_Key_Distribution_Position_Paper.pdf,EU,,QKD,,PDF
Planning for Post-Quantum Cryptography,August 2023,https://www.cyber.gov.au/sites/default/files/2023-08/PROTECT%20-%20Planning%20for%20Post-Quantum%20Cryptography%20%28August%202023%29.pdf,ACSC,australia,Transition,,PDF
Transition to Post-Quantum Cryptography Standards,November 2024,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,NIST,US,QRA,NIST IR 8547 ipd,PDF
Module-Lattice-Based Key-Encapsulation Mechanism Standard, August 2024,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,NIST,US,QRA,FIPS 203,PDF
Module-Lattice-Based Digital Signature Standard,August 2024,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,NIST,US,QRA,FIPS 204,PDF
Stateless Hash-Based Digital Signature Standard,August 2024,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.205.pdf,NIST,US,QRA,FIPS 205,PDF
Quantum Threat Timeline Report 2024,December 2024,https://globalriskinstitute.org/mp-files/quantum-threat-timeline-report-2024.pdf,Global Risk Institute,NA,Transition,,PDF
