Country,Phase,2025,2026,2027,2028,2029,2030-2035,dummy
All,1.Awareness and Planning,"Inventory & Prioritization","Guidance: ISM Cryptography White Papers",Migration Strategies,"Pilot Projects in Key Sectors",Training & Awareness Campaigns,"Refine PQC strategies based on global developments NIST updates and real-world experiences. Continuous monitoring of the threat landscape and evolving quantum computing capabilities.",dummy
US,1.Awareness and Planning,Inventory,"Guidance (SP 800-57 Part 2)",Migration Strategies (NSM-10 OMB Memos),"Pilot Projects",Training & Awareness (Industry Collaboration),"Ongoing inventory and assessment of cryptographic systems. Continued refinement and updates to national strategies based on evolving threat landscape and technological advancements.", dummy 
Europe,1.Awareness and Planning,"Collaborative Engagement and Knowledge Sharing. Assessment of National PQC Capabilities","Development of the EU s Coordinated PQC Implementation Roadmap","Establishment of a PQC Subgroup within the NIS Cooperation Group. Definition of Common Standards and Certification Schemes","Guidelines and Best Practices for PQC Adoption in Specific Sectors",Training and Awareness Programs for Public and Private Sectors,"Refinement of the EU's PQC strategy based on ongoing assessments of quantum computing progress and global developments. Continuous monitoring of the threat landscape.",dummy 
UK,1.Awareness and Planning,"Inventory and Prioritization of Critical Systems","Guidance: White Papers Best Practices Sector-Specific Advice","Migration Strategies: Hybrid Deployments Crypto-Agility Audits",Pilot Projects in Key Sectors (Finance Healthcare Critical Infrastructure). Develop Testing and Evaluation Frameworks for PQC Solutions ,Training and Awareness Programs for Public and Private Sectors,"Refinement of PQC strategies based on practical experience global best practices and ongoing assessments of quantum computing progress. Continuous monitoring of the threat landscape and adaptation of the national PQC roadmap as needed.",dummy 
France,1.Awareness and Planning,Early Engagement and Quantum Risk Assessments. Prioritization of High-Value Assets,Dissemination of Guidance: White Papers Best Practices and Sector-Specific Recommendations,Development of a National PQC Migration Strategy. Crypto-Agility Audits,"Pilot Projects in Key Sectors (Government Finance Critical Infrastructure)",Training and Awareness Programs for Public and Private Sectors,Continuous Refinement of the French PQC Strategy. Monitoring of Quantum Computing Progress and International Developments,dummy 
Germany,1.Awareness and Planning,"Assessment of National PQC Capabilities. Prioritization of Critical Systems and Data","Development of a Federal Government Strategy for PQC Migration",Definition of Standards and Certification Schemes. Guidance: White Papers Best Practices and Sector-Specific Advice","Pilot Projects in Key Sectors. Crypto-Agility Audits",Training and Awareness Programs. Engagement with Industry Stakeholders,Continuous Monitoring of Quantum Computing Progress. Refinement of PQC Strategy Based on Global Developments and Practical Experience,dummy 
Netherlands,1.Awareness and Planning,"National PQC Readiness Assessment. Inventory and Prioritization of Critical Systems and Data","Development of a National PQC Migration Strategy. Dissemination of Guidance and Best Practices. Engagement with Stakeholders",Crypto-Agility Audits,Pilot Projects in Key Sectors",Training and Awareness Campaigns for Public and Private Sectors,Continuous Refinement of PQC Strategies Based on Practical Experience and Evolving Threat Landscape,dummy 
UK,1.Awareness and Planning,"National PQC Readiness Assessment. Inventory and Prioritization of Critical Systems and Data","Development of a National PQC Migration Strategy. Dissemination of Guidance and Best Practices. Engagement with Stakeholders",Crypto-Agility Audits,Pilot Projects in Key Sectors",Training and Awareness Campaigns for Public and Private Sectors,Continuous Refinement of PQC Strategies Based on Practical Experience and Evolving Threat Landscape,dummy 
Canada,1.Awareness and Planning,"National PQC Readiness Assessment. Inventory and Prioritization of Critical Systems and Data","Development of a National PQC Migration Strategy. Dissemination of Guidance and Best Practices. Engagement with Stakeholders",Crypto-Agility Audits,Pilot Projects in Key Sectors",Training and Awareness Campaigns for Public and Private Sectors,Continuous Refinement of PQC Strategies Based on Practical Experience and Evolving Threat Landscape,dummy 
Australia,1.Awareness and Planning,National PQC Readiness Assessment. Inventory and Prioritization of Critical Systems and Data,Development of a National PQC Migration Strategy. Dissemination of Guidance and Best Practices. Engagement with Stakeholders,Crypto-Agility Audits,Pilot Projects in Key Sectors,Training and Awareness Campaigns for Public and Private Sectors,Continuous Refinement of PQC Strategies Based on Practical Experience and Evolving Threat Landscape,dummy 
