Standardisation Body,Description,URL,Country,Scope
ISO,International Organization for Standardization,https://www.iso.org/,WW,Standards (including ISO 27001 for information security management)
NIST,National Institute of Standards and Technology,https://www.nist.gov/,US,Standards (including cybersecurity frameworks and guidelines)
FSCC,Financial Stability Board,https://www.fsb.org/,Global,Promotes international financial stability
BIS,Bank for International Settlements,https://www.bis.org/,Global,Develops international standards for banking supervision
Basel Committee on Banking Supervision,Committee within the BIS,https://www.bis.org/bcbs/,Global,Develops international standards for banking supervision
FATF,Financial Action Task Force,https://www.fatf.org/,Global,Develops and promotes policies to combat money laundering and terrorist financing
PCI SSC,Payment Card Industry Security Standards Council,https://www.pcisecuritystandards.org/,WW,Security standards for payment card data
ISO/IEC JTC 1,Joint Technical Committee 1 of ISO and IEC,https://www.iso.org/committee/jtc1.html,WW,Information technology standards
FIDO Alliance,Fast IDentity Online,https://fidoalliance.org/,WW,Standards for strong authentication and passwordless login
EMVCo,"Joint venture of American Express, Discover, JCB, Mastercard, UnionPay, and Visa",https://www.emvco.com/,WW,"Develops and manages EMV specifications for secure payment transactions"
